FSA,lat_coord,lon_coord
E8K,47.6835,-65.8908
E8L,47.432,-65.4383
E8M,47.55,-65.0976
E8N,47.7977,-65.1198
E8P,47.6897,-64.9011
E8R,47.6348,-65.1773
E8S,47.7402,-64.688
E8T,47.8746,-64.5825
E9A,46.9071,-65.0006
E9B,46.6195,-65.7536
E9C,46.5798,-66.073
E9E,47.1183,-66.3033
E9G,47.2534,-65.2772
E9H,47.3501,-65.0554
G0A,47.4268,-71.3384
G0C,48.3739,-65.4186
G0E,49.1571,-65.5751
G0G,51.3864,-63.6108
G0H,49.446,-67.7799
G0J,48.4934,-67.0588
G0K,48.1737,-68.1887
G0L,47.7106,-69.1646
G0M,45.9715,-70.6789
G0N,46.1224,-71.2546
G0P,46.013,-71.7307
G0R,46.7881,-70.3442
G0S,46.4514,-71.4391
G0T,48.2847,-69.6432
G0V,50.1777,-70.6258
G0W,49.7004,-72.7199
G0X,47.7881,-73.8375
G0Y,45.6267,-71.0134
G0Z,46.1792,-72.1544
G1B,46.9269,-71.2274
G1C,46.8828,-71.1935
G1E,46.86,-71.194
G1G,46.8765,-71.2838
G1H,46.8529,-71.2572
G1J,46.8359,-71.2192
G1K,46.8145,-71.2214
G1L,46.8305,-71.2423
G1M,46.8152,-71.2713
G1N,46.8062,-71.2537
G1P,46.8072,-71.3129
G1R,46.8064,-71.2182
G1S,46.7926,-71.246
G1T,46.775,-71.2582
G1V,46.7826,-71.2879
G1W,46.7591,-71.2981
G1X,46.7744,-71.333
G1Y,46.7505,-71.3565
G2B,46.8394,-71.3652
G2C,46.8283,-71.3325
G2E,46.8054,-71.3573
G2G,46.7905,-71.4126
G2J,46.8459,-71.2864
G2K,46.8518,-71.3009
G2L,46.8896,-71.2545
G2M,46.9218,-71.3068
G2N,46.9131,-71.3398
G3A,46.7559,-71.4927
G3B,46.9797,-71.2947
G3C,47.1327,-71.4061
G3E,46.8779,-71.3407
G3G,46.9241,-71.3958
G3H,46.7767,-71.6913
G3J,46.8584,-71.4749
G3K,46.8323,-71.4461
G3L,46.9917,-71.8591
G3M,46.6871,-71.7109
G3N,46.868,-71.6259
G3S,47.0312,-71.6209
G3Z,47.4284,-70.6631
G4A,47.7176,-70.2479
G4R,51.0317,-66.6491
G4S,50.2768,-66.446
